category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
Catering Equip Purchase,covid,2,1,81220.75,0.0,0.0,50.0,10000.0
Cleaning Equipment,covid,13,2,153239.98,0.0,7.692,7.692,6451.3
Cleaning Equipment,pre_covid,1,1,145824.01,0.001,0.0,0.0,10000.0
Cleaning Materials,covid,3,1,33750.0,0.0,33.333,33.333,10000.0
Clinical excellence awards,covid,1,1,52310.33,0.0,0.0,100.0,10000.0
Commercial Sector,covid,28,4,1422890.9100000004,0.002,0.0,3.571,3468.1
Commercial Sector,post_covid,4,2,182218.0,0.0,0.0,0.0,5098.7
Commercial Sector,pre_covid,12,2,490922.08,0.002,0.0,0.0,5127.1
CompSwrPrch Additions,covid,43,16,2936254.4,0.005,9.302,16.279,1546.9
CompSwrPrch Additions,post_covid,1,1,24600.0,0.0,0.0,0.0,10000.0
CompSwrPrch Additions,pre_covid,3,2,124429.0,0.0,0.0,33.333,5547.9
Computer Hardware Purch,covid,16,2,265335.46,0.0,6.25,6.25,5451.3
Computer Hardware Purch,pre_covid,4,1,556.8,0.0,0.0,0.0,10000.0
Computer Maintenance,covid,174,28,5910130.040000001,0.01,3.448,2.874,1841.1
Computer Maintenance,post_covid,4,2,135936.0,0.0,0.0,0.0,5431.5
Computer Maintenance,pre_covid,55,24,3829382.97,0.014,5.455,14.545,1245.7
Computer Network Costs,covid,2,1,81774.32,0.0,0.0,0.0,10000.0
Computer Software/License,covid,75,19,4011760.64,0.007,0.0,12.0,2955.8
Computer Software/License,post_covid,8,5,234933.24,0.0,12.5,12.5,2530.9
Computer Software/License,pre_covid,10,6,478803.72,0.002,0.0,10.0,2707.0
Consultancy services,covid,321,117,37983091.0093973,0.063,1.558,13.707,520.7
Consultancy services,post_covid,1216,234,240850249.4243508,0.252,0.905,8.388,856.0
Consultancy services,pre_covid,134,56,12041599.14,0.044,1.493,8.209,446.0
Consultant,covid,6,3,357543.77,0.001,0.0,0.0,5130.0
Consultant,pre_covid,6,4,493645.74,0.002,0.0,0.0,4462.9
Contr Estate Management,covid,8,1,314100.79000000004,0.001,0.0,0.0,10000.0
Contr Other External,covid,102,11,4830714.13,0.008,0.98,2.941,1905.6
Contr Other External,post_covid,3,2,119012.48,0.0,0.0,0.0,5746.8
Contr Other External,pre_covid,70,11,4000497.61,0.015,1.429,2.857,1934.2
Contr Pest Control,pre_covid,1,1,48816.0,0.0,0.0,100.0,10000.0
