source,n_rows,date_min,date_max,pct_null_supplier,pct_null_category,median_amount,total_spend
Bradford_Teaching_Hospitals,13526,2019-01-31 00:00:00,2024-12-31 00:00:00,0.0,0.0,32982.9,1054854217.5952834
NHS_England,249613,2019-01-31 00:00:00,2024-12-31 00:00:00,0.0,0.0,103331.6,182501735278.69446
UK_Contracts_Finder,55648,2019-01-02 09:10:08,2024-12-27 15:27:00,100.0,15.774151811385853,110000.0,595389315194.7539
United_Lincolnshire_Hospitals,8204,2019-01-03 00:00:00,2024-12-20 00:00:00,0.0,0.0,55483.805,1725809798.9900002
