year_month,period,hhi
2019-01,pre_covid,110.74514604647587
2019-02,pre_covid,114.54071039270708
2019-03,pre_covid,97.13188900839766
2019-04,pre_covid,107.307717687805
2019-05,pre_covid,135.083790954254
2019-06,pre_covid,114.19101796359327
2019-07,pre_covid,135.7041312196191
2019-08,pre_covid,119.55657655628134
2019-09,pre_covid,115.03824297512378
2019-10,pre_covid,144.492299619028
2019-11,pre_covid,122.55860199337731
2019-12,pre_covid,153.81486436632485
2020-01,pre_covid,121.28087288893165
2020-02,pre_covid,124.31856333282502
2020-03,covid,93.55241331771288
2020-03,pre_covid,4005.1353176937478
2020-04,covid,76.5329115767712
2020-05,covid,82.84442390583801
2020-06,covid,94.76838009196221
2020-07,covid,89.8918060390553
2020-08,covid,87.31900973982992
2020-09,covid,87.41209759516722
2020-10,covid,93.52380492478336
2020-11,covid,100.10302646887546
2020-12,covid,87.45824320791726
2021-01,covid,99.19313928118116
2021-02,covid,89.88229908669429
2021-03,covid,66.49245966560808
2021-04,covid,87.07209677356093
2021-05,covid,99.37238735421782
2021-06,covid,90.96974444395603
2021-07,covid,96.37769526107822
2021-08,covid,98.29349844697107
2021-09,covid,100.55225110530856
2021-10,covid,113.38729802469344
2021-11,covid,92.89804786079762
2021-12,covid,113.80204238317395
2022-01,covid,89.81719791334206
2022-02,covid,1959.0539751237834
2022-02,post_covid,90.11477776421965
2022-03,post_covid,87.33343784204133
2022-04,post_covid,112.25404951582406
2022-05,post_covid,109.59036843319545
2022-06,post_covid,115.1289636740418
2022-07,post_covid,119.17139300477969
2022-08,post_covid,142.8410142798909
2022-09,post_covid,113.35972369642674
2022-10,post_covid,114.95357407060587
2022-11,post_covid,111.2874470321246
2022-12,post_covid,108.65370612114917
2023-01,post_covid,110.40859450331243
2023-02,post_covid,111.11770943140455
2023-03,post_covid,103.32183120096582
2023-04,post_covid,109.24846049662254
2023-05,post_covid,128.88236764940635
2023-06,post_covid,81.11677292105381
2023-07,post_covid,101.6510439583711
2023-08,post_covid,117.42418587333059
2023-09,post_covid,112.67798958418722
2023-10,post_covid,103.26986911041205
2023-11,post_covid,113.5655318957778
2023-12,post_covid,117.10227975287424
2024-01,post_covid,109.61760304372974
2024-02,post_covid,107.10018774123263
2024-03,post_covid,108.96628874035034
2024-04,post_covid,100.95730351629167
2024-05,post_covid,114.66395919393763
2024-06,post_covid,137.49653912334594
2024-07,post_covid,107.09669655138515
2024-08,post_covid,134.84940373848102
2024-09,post_covid,130.13918903264974
2024-10,post_covid,103.58289311337664
2024-11,post_covid,127.01025822309401
2024-12,post_covid,132.89791167137346
