node,community_id,community_size
GAMMA BUSINESS COMMUNICATIONS,0,609
CONCERTO SUPPORT SERVICES,0,609
SUNQUEST INFORMATION SYSTEMS EUROPE,0,609
KD WEB,0,609
MEMBERSHIP ENGAGEMENT SERVICES,0,609
VALIANTYS,0,609
UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,0,609
BT GLOBAL SERVICES,0,609
NHS CANTERBURY AND COASTAL CCG,0,609
MOSAIQUE,0,609
UKFASTNET,0,609
DIGITAL SPACE CLOUD SERVICES,0,609
HEALTH MANAGEMENT,0,609
NHS PENSIONS AGENCY,0,609
CACI,0,609
MAASTRICHT UNIVERSITY,0,609
MILLCROFT MEDICAL CENTRE,0,609
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0,609
LINCOLNSHIRE COMMUNITY AND VOLUNTARY SERVICES,0,609
NHS TRUST DEVELOPMENT AUTHORITY,0,609
TRADEBE HEALTHCARE,0,609
ACUMA SOLUTIONS,0,609
BECHTLE DIRECT,0,609
VODAFONE,0,609
IQVIA TECHNOLOGY SERVICES,0,609
MAIN EVENT SECURITY,0,609
SAS SOFTWARE,0,609
SOMERFORD ASSOCIATES,0,609
SILICON PRACTICE,0,609
6B DIGITAL,0,609
PULSANT,0,609
INOVEM,0,609
CONDECO,0,609
NINTEX UK,0,609
PROSPERON NETWORKS,0,609
DISTOLOGY,0,609
NHS NEWHAM CCG,0,609
BYTES SOFTWARE SERVICES,0,609
JAMES HARVARD,0,609
OUTLOUD,0,609
TCR NOTTINGHAM,0,609
ROYAL COLLEGE OF SURGEONS OF ENGLAND,0,609
IOT SOLUTIONS GROUP,0,609
SERCO,0,609
LA INTERNATIONAL COMPUTER CONSULTANTS,0,609
3M UNITED KINGDOM,0,609
IMDSOFT,0,609
QUEEN MARY UNIVERSITY OF LONDON,0,609
ENGAGE HEALTH SYSTEMS,0,609
HMRC,0,609
CORPORATE DOCUMENT SERVICES,0,609
WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,0,609
TOTAL COMPUTER NETWORKS,0,609
AXONEX,0,609
NHS WEST CHESHIRE CCG,0,609
TRANSPUTEC,0,609
CROWN WORKSPACE,0,609
MDDUS,0,609
INVESTIGO,0,609
DAISY CORPORATE SERVICES TRADING,0,609
WATERSTONS,0,609
SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,0,609
ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,0,609
QIAGEN,0,609
QINETIQ,0,609
INTAN,0,609
CRAYON,0,609
CROWN RECORDS MANAGEMENT,0,609
INTUITI SOLUTIONS,0,609
COBIC SOLUTIONS,0,609
EGRESS SOFTWARE TECHNOLOGIES,0,609
INTERXION CARRIER HOTEL,0,609
BSBMT,0,609
SSG PARTNERS LTD TA SSG HEALTH,0,609
CBRE,0,609
JISC SERVICES,0,609
MICROSOFT,0,609
HARLOW PRINTING,0,609
ROYAL PHARMACEUTICAL SOCIETY OF GREAT BRITAIN RPSGB,0,609
WILMINGTON SHARED SERVICES,0,609
ALTACOM,0,609
NATIONAL CAR PARKS,0,609
REDWOOD CABLE PROJECTS,0,609
DHL SUPPLY CHAIN,0,609
PREMIER IT PARTNERSHIP,0,609
OUTCOMES BASED HEALTHCARE,0,609
GLEMNET,0,609
EAST LANCASHIRE HOSPITALS NHS TRUST,0,609
NHS DIGITAL,0,609
EMIS EGTON MEDICAL INFORMATION SYSTEMS,0,609
EVA HEALTH TECHNOLOGIES,0,609
KENT SURREY SUSSEX AHSN,0,609
COREAZURE,0,609
ADVANCED BUSINESS SOFTWARE AND SOLUTIONS,0,609
CYBIT,0,609
SHARPSMART,0,609
MCSA GROUP,0,609
ZOHO CORPORATION,0,609
TALK STRAIGHT,0,609
APPRAISE ME,0,609
KEYSTREAM HEALTHCARE RESOURCES,0,609
NHS SOUTH LINCOLNSHIRE CCG,0,609
MINISTRY OF JUSTICE,0,609
FISCAL TECHNOLOGIES,0,609
INTERWORKS EUROPE,0,609
AGILISYS,0,609
COOLSPIRIT,0,609
CAPITA BUSINESS SERVICES,0,609
SPEAKUP SELF ADVOCACY,0,609
COMMERCE DECISIONS,0,609
QA,0,609
LINKEDIN,0,609
INITIAL MEDICAL SERVICES,0,609
AYUP DIGITAL,0,609
CSC COMPUTER SCIENCES,0,609
ACCESS UK,0,609
NHS ROTHERHAM CCG,0,609
OPEN HEALTH CARE UK,0,609
UNIVERSITY OF SHEFFIELD,0,609
UNIVERSITY OF HULL,0,609
ANSWER DIGITAL,0,609
CLINISYS SOLUTIONS,0,609
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0,609
MEDICAL PROTECTION SOCIETY,0,609
RENTOKIL INITIAL UK,0,609
CATALYST BI,0,609
GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,0,609
ULYSSES 2000,0,609
HOGG ROBINSON TRAVEL LTD TA HRG UK,0,609
HOOD & WOOLF,0,609
SELLICK PARTNERSHIP GROUP,0,609
EXPERIAN,0,609
MODALITY MEDICAL SERVICES,0,609
INSIGHT DIRECT UK,0,609
DIFRENT,0,609
IT PROFESSIONAL SERVICES,0,609
IE DESIGN CONSULTANCY,0,609
EIDO HEALTHCARE,0,609
OITUK LTD TA CCUBE SOLUTIONS,0,609
BT CONFERENCING,0,609
EE,0,609
ENDOSOFT,0,609
WOTTABYTE,0,609
UNIVERSITY COLLEGE LONDON,0,609
FIRST CONTACT CLINICAL CIC,0,609
REDWOOD TECHNOLOGIES,0,609
TACTIVOS,0,609
DUBIT,0,609
MBI HEALTH CONSULTING,0,609
SOFTWARE BOX,0,609
IDEAGEN GAEL,0,609
CLOUD2,0,609
MOTT MACDONALD,0,609
ATAMIS,0,609
VCREATE,0,609
EGTON MEDICAL INFORMATION SYSTEMS,0,609
ACADEMIA,0,609
SOLLIS PARTNERSHIP,0,609
VERSION 1 SOLUTIONS,0,609
LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,0,609
CABINET OFFICE,0,609
UXCLINICIAN,0,609
KENT COUNTY COUNCIL,0,609
PEAKE GB,0,609
M & C SAATCHI UK,0,609
SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,0,609
CANCOM UK,0,609
CLEVERMED,0,609
PEOPLE SOURCE CONSULTING,0,609
ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,0,609
POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,0,609
STREET GAMES UK,0,609
RUSS CONSULTING,0,609
TRUSTMARQUE SOLUTIONS,0,609
PERVASIVE NETWORKS,0,609
NHS SHEFFIELD CCG,0,609
IVORY CLINIC THE,0,609
UNIVERSITY HOSPBIRMINGHAM NHS FOUNDATN,0,609
KHIPU NETWORKS,0,609
WEST YORKSHIRE COMBINED AUTHORITY,0,609
TABLEAU INTERNATIONAL UC,0,609
CERTERO,0,609
FJ MCMANUS,0,609
MLL TELECOM,0,609
BEAUTIFUL INFORMATION,0,609
CORESTREAM,0,609
NHS SCARBOROUGH AND RYEDALE CCG,0,609
JUMPING RIVERS,0,609
STEVE DAVIDSON ADVERTISING,0,609
HOPSCOTCH CONSULTING,0,609
TOM HARRISON HOUSE,0,609
TPP,0,609
HEALTHCARE GATEWAY,0,609
PARK PLACE TECHNOLOGIES,0,609
PLAY BRADFORD,0,609
WATCH THIS SPACE PROPERTY DEVELOPMENT ,0,609
ANENTA,0,609
SOFTWAREONE UK,0,609
SNAPCOMMS UK,0,609
POWERON PLATFORMS,0,609
VIAPATH ANALYTICS,0,609
GREEN CLOUD HOSTING,0,609
MATTHEWS & GOODMAN,0,609
NHS WARRINGTON CCG,0,609
NHS EASTERN CHESHIRE CCG,0,609
TRADEBE HEALTHCARE NATIONAL,0,609
BEYONDTRUST CORPORATION,0,609
MAINTEL EUROPE,0,609
UNIVERSITY OF BRADFORD,0,609
TMI SYSTEMS,0,609
ANAPLAN,0,609
ANS GROUP,0,609
AUTOMATEPRO,0,609
GATENBY SANDERSON,0,609
SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,0,609
CAPITA SECURE INFORMATION SOLUTIONS,0,609
IMPERIAL COLLEGE HEALTH PARTNERS,0,609
MANNING GOTTLIEB OMD,0,609
ZELLIS UK,0,609
LAW MORGAN,0,609
FREUDS COMMUNICATIONS LTD TA FREUDS,0,609
BILLIONS INSTITUTE LLC THE,0,609
MEDWAY COUNCIL,0,609
KIER INFRASTRUCTURE AND OVERSEAS,0,609
XMA,0,609
FUSION BUSINESS SOLUTIONS UK,0,609
TET,0,609
BISTECH,0,609
I5 HEALTH,0,609
GENOMICS ENGLAND,0,609
GIRLINGTON COMMUNITY CENTRE,0,609
DAISY CORPORATE SERVICES,0,609
PRECISELY EUROPE SOFTWARE AND DATA,0,609
TWS PARTNERS,0,609
WILMINGTON HEALTHCARE,0,609
SKY BUSINESS,0,609
MAGENTUS SOFTWARE,0,609
SYNERTEC,0,609
METHODS ANALYTICS,0,609
FELBER CONSULTING,0,609
CAMBURG COLLECTIVE,0,609
SAPPHIRE TECHNOLOGIES,0,609
AGFA FINANCE UK,0,609
BOXXE,0,609
CONVERGENCE GROUP NETWORKS,0,609
VISIONABLE,0,609
SEATTLE SOFTWARE,0,609
ISLE OF WIGHT NHS TRUST,0,609
UNIVERSITY OF HUDDERSFIELD,0,609
TELEFONICA O2 UK,0,609
SHELFSPAN,0,609
CONCENTRA CONSULTING,0,609
ESSEX PARTNERSHIP UNIVERSITY NHS FT,0,609
ACCURX,0,609
EVERYTHING EVERYWHERE,0,609
TEQEX,0,609
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0,609
INTRINSIC TECHNOLOGY,0,609
PINNACLE SYSTEMS MANAGEMENT,0,609
ESRI UK,0,609
SET3 SOLUTIONS,0,609
REDSTOR,0,609
REDCENTRIC SOLUTIONS,0,609
NLA MEDIA ACCESS,0,609
SATELLITE APPLICATIONS CATAPULT,0,609
AGFA HEALTHCARE IT UK,0,609
CIS ONCOLOGY,0,609
NHS TOWER HAMLETS CCG,0,609
CERNER,0,609
PROACT IT UK,0,609
XEROX UK,0,609
NERDS WITH WORDS,0,609
EASTERN ACADEMIC HEALTH SCIENCE NETWORK,0,609
DEPARTMENT OF HEALTH,0,609
MARVAL SOFTWARE,0,609
MEDCURRENT UK,0,609
SERVICE DESK INSTITUTE,0,609
MANCHESTER CENTRAL CONVENTION COMPLEX,0,609
NHS RESOLUTION,0,609
HUNTER HEALTHCARE RESOURCING,0,609
CMAP SOFTWARE,0,609
ITIL LTD TA INCITE INSIGHT,0,609
DELL CORPORATION,0,609
EDG GROUP,0,609
BEAVER HEALTHCARE,0,609
NHS WALTHAM FOREST CCG,0,609
NHS LITIGATION AUTHORITY,0,609
CARAT,0,609
SYSTEM C HEALTHCARE,0,609
CITIZEN COMMUNICATIONS,0,609
NHS NORTH WEST SURREY CCG,0,609
EAGLE ONE,0,609
ACIME UK,0,609
HM REVENUE AND CUSTOMS,0,609
NHS BRISTOL N SOMERSET S GLOS CCG,0,609
INSPIRED AGENCY,0,609
PURE DATA SOLUTIONS,0,609
AVEPOINT UK,0,609
YOUNG MINDS,0,609
COMPLETE IT SYSTEMS,0,609
NHS STOKE ON TRENT CCG,0,609
DATIX,0,609
AKHTER COMPUTERS,0,609
NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,0,609
HEALTHCARE SOFTWARE SOLUTIONS,0,609
BRAMBLE HUB,0,609
MTI TECHNOLOGY,0,609
UPS POWER PROTECTION,0,609
BT WIFI,0,609
INNOVA CARE CONCEPTS,0,609
OMNICELL,0,609
NDL SOFTWARE,0,609
CITY SPRINT UK,0,609
VPL HEALTHCARE,0,609
INITIAL WASHROOM HYGIENE,0,609
PHOENIX PARTNERSHIP LEEDS,0,609
HALO SERVICE SOLUTIONS,0,609
MEDICAL DATA SOLUTIONS & SERVICES,0,609
DEPARTMENT OF HEALTH & SOCIAL CARE,0,609
HEALTHCARE COMPUTING,0,609
AGFA HEALTHCARE UK,0,609
HM LAND REGISTRY,0,609
AIMES MANAGEMENT SERVICES,0,609
BRAVOSOLUTION UK,0,609
HOOPLE,0,609
WAGSTAFF INTERIORS GROUP,0,609
COMPUTACENTER UK,0,609
CHALLENGING BEHAVIOUR FOUNDATION,0,609
TRUSTED TECHNOLOGY PARTNERSHIP,0,609
JOHNS HOPKINS HEALTHCARE SOLUTIONS,0,609
QE FACILITIES,0,609
BLUE PRISM,0,609
PROACTIS GROUP,0,609
DICKENS SELF STORAGE,0,609
SITEKIT HEALTH,0,609
BLUE PELICAN CONSULTING,0,609
UDEMY,0,609
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0,609
CORPORATE TRAVEL MANAGEMENT NORTH,0,609
ADEPT TELECOM,0,609
PHOENIX SOFTWARE,0,609
