category,spend_covid,spend_post_covid,spend_pre_covid,pct_change_pre_to_covid,pct_change_covid_to_post,n_transactions_total
PHARMACY,5346396.109999999,0.0,2378250.75,124.8037180267892,-100.0,221
Capital,542104024.4100001,695255084.0799999,246748497.89,119.69901703380137,28.251230902903195,5763
Audit Fees: Statutory,122845.45000000001,426621.4,56000.0,119.36687500000002,247.28302920458182,11
Independent Sector,2702868.6,0.0,1251964.3300000003,115.8902242845848,-100.0,65
SW SUPPORT,978645.02,0.0,464148.53,110.84738111741945,-100.0,16
Med & Surg Equip Disp,779570.6799999998,2090174.1700000002,378605.08999999997,105.9060220241624,168.11862267575285,108
INTERNAL AUDIT,245369.2,0.0,120210.0,104.11712835870561,-100.0,9
Services from other NHS bodies,47127785621.630005,76750920357.37036,23259786999.55,102.61486325107694,62.85704780099911,125499
General Opthalmic services,146480576.7,93723980.03999999,72501360.24,102.03838412839134,-36.01610387433708,8224
Photographic Materials,395914.23000000004,27144.53,196010.71,101.98601902926634,-93.14383572421735,18
MEDICAL RECORD STORAGE,821558.3300000001,0.0,410082.39999999997,100.33981707091067,-100.0,29
Sewerage,155554.69,418119.1,79393.17,95.92956169907312,168.7923456374089,39
Blood Products,7903409.600000001,17584664.020000003,4049612.15,95.16460607221362,122.49465623039455,284
Minor Works,1980610.1600000001,6777033.0917059,1021344.6299999999,93.92182636726649,242.16895523276017,102
Provisions,352430.68000000005,622687.2000000002,182021.95,93.6198793607035,76.68359633162473,28
OTHER TRANSPORT COSTS,390387.22,0.0,220708.22,76.87932964164179,-100.0,7
Med & Surg Maint Contract,2394110.78,2535065.69,1389717.5,72.27319797009103,5.887568410681487,104
Transport,28326153.03,35268406.95000001,16675867.34,69.8631468604619,24.50828360860553,212
TELEPHONES,329355.08999999997,0.0,194246.02,69.55564392001442,-100.0,8
"Books, Journals & Subscr",285489.1879024,621484.56,169200.0,68.7288344576832,117.69110226775614,41
EXTERNAL CONTRACTS,1437495.2400000002,0.0,866947.01,65.81119992558718,-100.0,60
EXTERNAL LAUNDRY CONTRACT,1850591.54,0.0,1134429.91,63.129649852056545,-100.0,66
Rates,3439565.0,10627633.27,2157032.0,59.458227787070385,208.98189945530902,207
PAYE,159749884.47000003,0.0,100239285.51999998,59.36853863361421,-100.0,119
CNST CONTRIBUTIONS,39914207.60000001,0.0,25076829.2,59.16768137496431,-100.0,80
MISCELLANEOUS,55002.49,0.0,34650.0,58.737344877344874,-100.0,2
Pharmaceutical services,14120396.64,30803446.31,8918570.52,58.32578335659111,118.1485909732915,351
NETWORK HARD/W,169764.81,0.0,107905.67,57.32705241531794,-100.0,5
Purch Tang FA AUC Addns,2788345.3200000003,0.0,1807955.93,54.226398648998064,-100.0,28
WATER AND SEWERAGE,782212.8899999999,0.0,521127.24999999994,50.100170351867035,-100.0,34
ENGIN & MAINT DAY TO DAY,48959.0,0.0,33372.0,46.70682008869711,-100.0,3
Education and training,34641700.61227937,8314048872.694673,23773586.990000002,45.71507710153657,23900.117562783882,7120
Computer Maintenance,5910130.04,4925705.5,4090277.3300000005,44.492159410618726,-16.656563110073293,372
PATHOLOGY SERVICES,17412308.619999997,0.0,12100323.64,43.899528128654225,-100.0,38
Postage & Carriage,320512.02,2436803.1599999997,224973.97,42.4662684309656,660.2844848065291,82
Lease Charges,3060059.7800000003,5353163.300000001,2207344.0899999994,38.630845723740386,74.93655957270221,205
FUEL - STEAM,2910124.3100000005,0.0,2104828.74,38.25943435188937,-100.0,104
Other Liabilities - Curr,11660721.16,20622462.14,8453888.249999998,37.933230428022306,76.85408867113327,405
Non NHS Capitl Pybls Curr,482464.0,0.0,350883.0,37.499964375589585,-100.0,2
Permanent Injury Benefits,216398.63,369300.54000000004,158790.83000000002,36.27904709610749,70.65752218486782,23
Contr Refuse & Clin Waste,1645872.6600000001,1693870.8,1208027.6500000001,36.24461824197484,2.9162730001238306,93
CPAP MACHINES,2462160.19,0.0,1839463.8500000003,33.85205640219564,-100.0,104
SERVICES FROM OTHER NHS,212772.74,0.0,164318.5,29.48800043817342,-100.0,12
RATES,3433216.0,0.0,2669331.1,28.61709062618721,-100.0,12
AUC Additions,500367.89999999997,78889.0,403676.29000000004,23.952759276498483,-84.23380076939388,11
Ext Contr Laundry,1836906.18,4046132.8000000003,1495251.1500000001,22.84934072781016,120.2688871132221,107
Other Public Sector,160500.0,768420.0,133750.0,20.0,378.76635514018693,28
PHARMACY PILGRIM,4736404.76,0.0,4219359.31,12.254122297065056,-100.0,242
