year_month,period,source,hhi
2022-01,covid,Bradford_Teaching_Hospitals,771.4770571390729
2022-01,covid,NHS_England,92.16995783759992
2022-01,covid,United_Lincolnshire_Hospitals,3217.110241498976
2022-02,covid,United_Lincolnshire_Hospitals,1959.0539751237834
2022-02,post_covid,Bradford_Teaching_Hospitals,1608.7167164830723
2022-02,post_covid,NHS_England,91.29535325378475
2022-03,post_covid,Bradford_Teaching_Hospitals,481.5749696973088
2022-03,post_covid,NHS_England,90.3424373060436
2022-03,post_covid,United_Lincolnshire_Hospitals,1675.8523640020235
2022-04,post_covid,Bradford_Teaching_Hospitals,458.2984144013175
2022-04,post_covid,NHS_England,115.79042156601695
2022-04,post_covid,United_Lincolnshire_Hospitals,2490.2086905142587
2022-05,post_covid,Bradford_Teaching_Hospitals,2002.4824187368997
2022-05,post_covid,NHS_England,113.28940901907696
2022-05,post_covid,United_Lincolnshire_Hospitals,2468.3742614607313
2022-06,post_covid,Bradford_Teaching_Hospitals,1369.5391071799659
2022-06,post_covid,NHS_England,120.41628554099474
2022-06,post_covid,United_Lincolnshire_Hospitals,1664.5327405568996
2022-07,post_covid,Bradford_Teaching_Hospitals,1848.2899543405927
2022-07,post_covid,NHS_England,122.59971729937976
2022-07,post_covid,United_Lincolnshire_Hospitals,2405.516170347605
2022-08,post_covid,Bradford_Teaching_Hospitals,458.8391911166812
2022-08,post_covid,NHS_England,146.7211879912022
2022-08,post_covid,United_Lincolnshire_Hospitals,1978.0867603101108
2022-09,post_covid,Bradford_Teaching_Hospitals,702.6956972318318
2022-09,post_covid,NHS_England,116.85720691101878
2022-09,post_covid,United_Lincolnshire_Hospitals,1588.3764117991495
2022-10,post_covid,Bradford_Teaching_Hospitals,488.96861142034476
2022-10,post_covid,NHS_England,118.886101278731
2022-10,post_covid,United_Lincolnshire_Hospitals,1805.3785213791584
2022-11,post_covid,Bradford_Teaching_Hospitals,752.1748716435047
2022-11,post_covid,NHS_England,114.60049677345377
2022-11,post_covid,United_Lincolnshire_Hospitals,2064.3071825456163
2022-12,post_covid,Bradford_Teaching_Hospitals,770.868811711637
2022-12,post_covid,NHS_England,111.73843514793603
2022-12,post_covid,United_Lincolnshire_Hospitals,1582.042188065206
2023-01,post_covid,Bradford_Teaching_Hospitals,476.80347764839314
2023-01,post_covid,NHS_England,114.37813625704806
2023-01,post_covid,United_Lincolnshire_Hospitals,1552.3425448277017
2023-02,post_covid,Bradford_Teaching_Hospitals,525.7848803306698
2023-02,post_covid,NHS_England,114.34400895751179
2023-02,post_covid,United_Lincolnshire_Hospitals,1972.8654046422503
2023-03,post_covid,Bradford_Teaching_Hospitals,434.7382399664117
