period,count,mean,std,min,50%,90%,99%,max
covid,80805.0,750018.7116289584,2943239.900877457,1.0,92941.9,1335096.378000004,12991265.440000117,49869800.0
post_covid,145759.0,667032.306219532,2436845.2484939066,2.47,101313.69,1142320.7320000012,12143522.34,49864233.83
pre_covid,44779.0,613036.8114484241,2859997.034243762,1.0,81074.41,730676.14,12250847.860000225,48428530.83
