record_id,source,entity,supplier,date,amount,category,period,is_new_supplier,anomaly_score,top_shap_feature,top_shap_value
198454,NHS_England,NHS England,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-07-31,21804876.35,Services from other NHS bodies,post_covid,0,0.08507103280975892,supplier_txn_seq,2.435725227876252
121961,NHS_England,NHS England,HEALTH AND SOCIAL CARE INFORMATION CENTRE,2023-01-31,3825583.0,Capital,post_covid,0,0.08503875598187505,days_since_last_txn,3.3379349434607954
218447,NHS_England,NHS England,ROYAL FREE LONDON NHS FOUNDATION TRUST,2024-06-30,17596076.42,Services from other NHS bodies,post_covid,0,0.084991217403669,supplier_txn_seq,2.7969291320744882
228555,NHS_England,NHS England,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2022-02-28,33046000.0,Services from other NHS bodies,post_covid,0,0.08487289832187805,log_amount,1.9845955434305567
78766,NHS_England,NHS England,CIRCLE HEALTH HOLDINGS LTD,2020-03-31,16007870.0,Purchase of healthcare from non-NHS bodies,covid,1,0.0848503436604926,is_new_supplier,3.1480613342097072
198351,NHS_England,NHS England,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-05-31,42526969.63,Services from other NHS bodies,post_covid,0,0.0847764280186315,supplier_txn_seq,2.3150049445496674
229377,NHS_England,NHS England,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2024-12-31,11979833.33,Services from other NHS bodies,post_covid,0,0.08477226920514969,supplier_txn_seq,3.0230461798880275
262121,NHS_England,NHS England,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,2022-02-28,40876300.0,Services from other NHS bodies,post_covid,0,0.08468587705280983,amount_zscore_category,1.9965474839493265
217684,NHS_England,NHS England,ROYAL FREE LONDON NHS FOUNDATION TRUST,2022-01-31,29329400.0,Services from other NHS bodies,covid,0,0.08465025708825458,log_amount,2.0115900938174804
62854,NHS_England,NHS England,BOOTS UK LTD,2022-01-31,1310874.0,Supplies and services – general,covid,0,0.08463004671575358,days_since_last_txn,3.6550519212285115
118878,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-07-31,17958640.47,Education and training,post_covid,0,0.08456078929754274,supplier_txn_seq,3.8576111974927327
118950,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-09-30,6264620.58,Services from other NHS bodies,post_covid,0,0.08454697030303882,supplier_txn_seq,3.752863530332045
211365,NHS_England,NHS England,RAMSAY HEALTH CARE UK OPERATIONS LTD,2022-02-28,2836079.0,Purchase of healthcare from non-NHS bodies,post_covid,0,0.08452103724139326,days_since_last_txn,2.859530930476147
198291,NHS_England,NHS England,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-02-28,37129227.85,Services from other NHS bodies,post_covid,0,0.08440521617974617,supplier_txn_seq,2.344343476966145
155159,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2024-07-31,14920136.0,Services from other NHS bodies,post_covid,0,0.08428326450367019,supplier_txn_seq,3.874671660108574
145082,NHS_England,NHS England,LEEDS TEACHING HOSPITALS NHS TRUST,2023-01-31,36660779.73,Services from other NHS bodies,post_covid,0,0.08427977694012379,supplier_txn_seq,2.148058255713846
139032,NHS_England,NHS England,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2023-02-28,28568710.66,Services from other NHS bodies,post_covid,0,0.08425042117442683,supplier_txn_seq,2.4353251800543414
131700,NHS_England,NHS England,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2024-04-30,21928209.83,Services from other NHS bodies,post_covid,0,0.08417304471038245,supplier_txn_seq,2.939954075630691
