period,months,avg_monthly_spend,baseline_avg_monthly_spend,pct_deviation_from_baseline,avg_residual,max_abs_residual
pre_covid,15,1974976059.5814106,1975531956.001054,-0.028139075045319362,-17634096.391167164,216511773.38037157
covid,23,2627140331.992218,1975531956.001054,32.98394510965918,296940313.9461206,1716643120.6988506
post_covid,34,2738749297.2376037,1975531956.001054,38.63351027646664,49979531.57083076,3214388541.96974
