period,months,avg_monthly_spend,baseline_avg_monthly_spend,pct_deviation_from_baseline,avg_residual,max_abs_residual,ml_anomaly_rate_pct,period_label
pre_covid,15,1982502309.1334105,1982165443.0927207,0.0169948498428114,-9723542.044195158,134587265.55001473,0.183,Pre-COVID
covid,23,2644888162.49787,1982165443.0927207,33.434278743711744,307311146.94475204,1798635118.6197002,1.673,COVID
post_covid,34,2785659909.436105,1982165443.0927207,40.53619586313202,49414599.110705934,3210947376.3515573,2.74,Post-COVID
