category,total_spend,n_transactions,n_periods_active,mean_anomaly_rate_pct,mean_new_supplier_rate_pct,mean_hhi,share_of_total_spend_pct,pct_change_pre_to_covid,pct_change_covid_to_post
PHARMACY PILGRIM,3135956.4000000004,82.0,2.0,0.0,2.439,3943.0,0.0017,-78.51660247694532,-100.0
Ext Contr Laundry,3099669.8199999994,43.0,3.0,2.326,2.326,8801.4,0.0017,60.58181562216895,-93.5295051378182
CompSwrPrch Additions,3085283.4,47.0,3.0,8.51,17.021,1982.1,0.0017,2259.7830087841257,-99.16219793489284
Long Trm Loans - Non-Curr,3052000.0,4.0,1.0,0.0,0.0,10000.0,0.0017,-100.0,
Contr Refuse & Clin Waste,2936408.1799999997,49.0,3.0,0.0,2.041,7753.5,0.0016,36.24461824197482,-94.98698337938248
Gas,2755915.83,51.0,3.0,1.961,1.961,7988.8,0.0015,-9.258052388728668,-94.3383029985495
PHARMACY,2683890.18,75.0,2.0,1.333,4.0,2179.3,0.0015,-57.27050407462586,-100.0
Dividend Payment,2674000.0,1.0,1.0,0.0,0.0,10000.0,0.0015,-100.0,
External Consultancy Fees,2522395.5700000003,133.0,3.0,2.256,3.76,5235.0,0.0014,10.134491470870795,-90.85855879214252
ENGINEERING SERVICES,2499831.68,16.0,2.0,0.0,18.75,4711.3,0.0014,76.12305260493916,-100.0
Equip Maint Contracts,2359852.33,51.0,3.0,0.0,0.0,6084.4,0.0013,-29.748788099453893,-86.97132232260674
QUALIFIED AGENCY INVOICES,2329283.55,63.0,2.0,3.175,12.698,3024.6,0.0013,157.36261946793607,-100.0
ELECTRICITY,2234104.5700000003,34.0,2.0,0.0,0.0,10000.0,0.0012,-77.25688651546344,-100.0
SrvcsRecd-FoundationTrust,2226269.62,30.0,3.0,0.0,0.0,6946.1,0.0012,508.2590538043521,-73.75988395290808
SERVICES FROM NON-NHS BODIES,2123614.25,8.0,2.0,0.0,0.0,9133.9,0.0012,-74.24814532951235,-100.0
Commercial Sector,2096030.9900000005,44.0,3.0,0.0,2.272,4068.8,0.0011,189.84047936894595,-87.19381797161105
NI ERS,2088083.63,10.0,2.0,0.0,0.0,10000.0,0.0011,-70.82901094901752,-100.0
Services Received – CCGs,2000000.0,2.0,1.0,0.0,0.0,10000.0,0.0011,,-100.0
GP SPECIALIST TRAINEE,1906254.88,16.0,2.0,0.0,0.0,10000.0,0.001,-30.13996724919829,-100.0
Agency Nursing Qualified,1867068.5699999998,1365.0,3.0,3.663,0.293,7024.2,0.001,154.97132006976167,-94.41571915639835
FUEL - STEAM,1794601.46,35.0,2.0,0.0,2.857,5786.3,0.001,-17.785199893615726,-100.0
Med & Surg Equip Hire,1597155.14,56.0,3.0,0.0,1.786,6137.8,0.0009,165.0090443662711,-87.5981100925907
Miscellaneous Expenditure,1547488.66,14.0,2.0,0.0,35.715,2053.3,0.0008,368.2031899215913,-100.0
RENTS,1368839.58,19.0,2.0,0.0,5.263,6176.9,0.0007,8.406904847292095,-100.0
COMPUTER HARDWARE,1330185.4499999997,24.0,2.0,0.0,12.5,3629.7,0.0007,-29.10925468555956,-100.0
X-Ray Equip Maint/Repair,1275531.79,43.0,2.0,0.0,0.0,6629.4,0.0007,,-96.93057946139534
Services Received - CCG's,1232000.0,1.0,1.0,0.0,0.0,10000.0,0.0007,,
CPAP MACHINES,1222336.9699999997,31.0,2.0,0.0,0.0,10000.0,0.0007,-55.59629877915047,-100.0
Med & Surg Equip Disp,1191529.6099999999,44.0,3.0,2.273,4.546,5698.9,0.0007,105.90602202416244,-95.721511742848
WAN USAGE,1166916.26,16.0,2.0,0.0,6.25,6796.6,0.0006,-89.69172731906488,-100.0
EXTERNAL LAUNDRY CONTRACT,1146228.77,25.0,2.0,0.0,0.0,10000.0,0.0006,-60.29324105134364,-100.0
RATES,1088547.1,3.0,2.0,0.0,33.333,10000.0,0.0006,389.6433638064017,-100.0
Insurance Costs,1015882.9099999999,4.0,2.0,0.0,25.0,8897.2,0.0006,-44.66742352115746,-100.0
CONSULTANTS FEES,1012320.37,19.0,2.0,0.0,0.0,4691.6,0.0006,-53.92626130180063,-100.0
CONSULTANCY DELIVERY,1004785.69,12.0,2.0,0.0,16.667,5934.0,0.0005,-96.80552686576658,-100.0
Pacemakers,987717.6000000001,39.0,2.0,2.564,2.564,8744.7,0.0005,11.513386972018283,-100.0
Other Clinical Costs,987519.0,3.0,1.0,0.0,0.0,10000.0,0.0005,,-100.0
AGENCY OTHER STT QUALIFIED,953004.22,2.0,1.0,0.0,0.0,10000.0,0.0005,,-100.0
AUC Additions,904044.19,9.0,2.0,0.0,11.111,6585.3,0.0005,23.952759276498483,-100.0
BLOOD PRODUCTS,875796.46,11.0,2.0,0.0,9.091,10000.0,0.0005,-77.18394521512367,-100.0
Consultant,851189.51,12.0,2.0,0.0,0.0,4796.4,0.0005,-27.5707777808434,-100.0
Non NHS Capitl Pybls Curr,833347.0,2.0,2.0,0.0,0.0,10000.0,0.0005,37.49996437558959,-100.0
MINOR CLINICAL EQUIPMENT,808130.55,19.0,2.0,0.0,21.053,4567.5,0.0004,23.95337279153352,-100.0
OTHER NURSING,769046.1000000001,7.0,2.0,0.0,0.0,10000.0,0.0004,46.50397225833015,-100.0
SUBSCRIPTION  FEES,721148.22,2.0,1.0,0.0,100.0,9205.7,0.0004,-100.0,
OTHER AMBULANCE SERVICES,699254.88,8.0,1.0,0.0,0.0,10000.0,0.0004,-100.0,
X-Ray Equipment Purchase,687884.4,29.0,2.0,0.0,13.793,2464.1,0.0004,-15.609943918311354,-100.0
Professional Fees,665449.36,34.0,2.0,2.941,8.824,3173.0,0.0004,217.36663321625693,-100.0
NI EES,655212.96,10.0,2.0,0.0,0.0,10000.0,0.0004,-67.86149617637818,-100.0
EXTERNAL CONTRACTS,601503.3200000001,11.0,2.0,9.091,9.091,6464.1,0.0003,-74.36863118789559,-100.0
Senior Manager Band 8D,601138.88,6.0,2.0,0.0,0.0,10000.0,0.0003,-95.5190059683971,-100.0
Photographic Materials,591924.94,17.0,2.0,0.0,0.0,10000.0,0.0003,101.98601902926634,-100.0
PROPERTY LEASE,551439.48,8.0,2.0,0.0,0.0,10000.0,0.0003,174.4317417162739,-100.0
BUILD MAINT EXT CONTRACTS,536837.93,7.0,2.0,14.286,14.286,7331.3,0.0003,246.2927233987013,-100.0
WATER AND SEWERAGE,521447.51,13.0,2.0,0.0,0.0,10000.0,0.0003,-51.572596490014575,-100.0
Postage & Carriage,515932.58,16.0,2.0,0.0,0.0,8945.0,0.0003,64.0114121052565,-100.0
CLINICAL SERVICE CONTRACT,515390.33,14.0,2.0,0.0,0.0,5693.6,0.0003,-26.515122954412,-100.0
Provisions,505821.81000000006,15.0,3.0,20.0,26.667,3776.8,0.0003,182.2607211694252,-91.9044647304826
Services from Local Auth,497336.65,3.0,2.0,0.0,0.0,10000.0,0.0003,170.04215029761906,-100.0
Audit Fees: Internal,477233.0,10.0,2.0,0.0,0.0,10000.0,0.0003,339.55115884680606,-100.0
Interest Payable,464531.71,4.0,1.0,0.0,0.0,10000.0,0.0003,-100.0,
COMPUTER PURCHASE ACCESSORIES,456557.56,3.0,1.0,0.0,33.333,7745.4,0.0002,-100.0,
HIRE OF CLINICAL EQUIPMENT,444318.96,4.0,1.0,0.0,0.0,10000.0,0.0002,-100.0,
"Books, Journals & Subscr",422289.1879024,14.0,2.0,0.0,21.429,3317.3,0.0002,108.69092682923976,-100.0
XRAY MAINTENANCE,413254.02,7.0,2.0,0.0,14.286,10000.0,0.0002,-64.33564803628869,-100.0
MSSE CONSUMABLES,412132.71,11.0,2.0,0.0,18.182,5654.7,0.0002,139.36587836168707,-100.0
Training Expenses,407500.0,2.0,1.0,0.0,50.0,8532.1,0.0002,,-100.0
Packing & Storage,392563.92,2.0,1.0,0.0,50.0,10000.0,0.0002,,
Permanent Injury Benefits,375189.46,12.0,2.0,0.0,0.0,10000.0,0.0002,36.27904709610749,-100.0
Med & Surg Equip Leases,356394.77,10.0,3.0,0.0,0.0,5552.0,0.0002,-75.25232796917777,-55.63448230226721
LLOYDS PHARM DISPENSING COSTS,334178.0,5.0,2.0,0.0,0.0,10000.0,0.0002,-28.6134830884427,-100.0
EXCLUDED DEVICES,320452.32,9.0,2.0,11.111,11.111,8516.6,0.0002,-73.85074113580042,-100.0
POSTAGE,320000.0,8.0,2.0,0.0,25.0,10000.0,0.0002,-60.86956521739131,-100.0
Contr Estate Management,314100.79000000004,8.0,1.0,0.0,0.0,10000.0,0.0002,,-100.0
MEDICAL RECORD STORAGE,311960.85,8.0,2.0,0.0,0.0,10000.0,0.0002,-60.0263336071837,-100.0
Other Gen Supplies & Srv,310481.24,5.0,3.0,0.0,20.0,7077.0,0.0002,-74.10002047362315,232.00496215670427
