supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
HF TRUST LTD,6,350743.0,58457.16666666666,0.1666666666666666,-0.0777713996067483,0.0,False,69.14544753086419,Medium,,
UNIVERSITY OF OXFORD,57,15336911.59,269068.6243859649,0.0175438596491228,-0.1474009980596028,0.4561403508771929,False,69.140625,Medium,0.0,590.0
LOVEMEAD GROUP PRACTICE,7,528982.86,75568.98,0.1428571428571428,-0.0751566017480037,0.0,False,69.10686728395062,Medium,,
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,282,538746797.74,1910449.6373758863,0.0177304964539007,-0.1370924727562813,0.2872340425531915,True,69.07793209876543,Medium,,
DERWENT PRACTICE,25,1443072.88,57722.9152,0.04,-0.1117951920947004,0.08,False,69.07793209876543,Medium,,
BUCKINGHAMSHIRE COUNTY COUNCIL,5,300559.71,60111.942,0.0,-0.1061346717320819,0.6,False,69.04899691358024,Medium,7.0,67.0
HAMPSHIRE COUNTY COUNCIL,13,817238.98,62864.53692307692,0.0,-0.0820088721849248,0.2307692307692307,False,69.04899691358024,Medium,,
CAEN MEDICAL CENTRE,8,499728.36,62466.045,0.125,-0.0733124874547447,0.0,False,69.04417438271605,Medium,,
CARE QUALITY COMMISSION,39,6668503.0200000005,170987.25692307693,0.0256410256410256,-0.109777148895412,0.0769230769230769,True,69.03452932098766,Medium,0.0,590.0
BRITISH RED CROSS SOCIETY,47,16689737.67,355100.8014893617,0.0212765957446808,-0.1385025908477266,0.2978723404255319,False,69.00077160493827,Medium,,
LONDON CLINIC,21,25549000.0,1216619.0476190476,0.0,-0.107384171379484,0.8571428571428571,False,68.86091820987653,Medium,,
BAY MEDICAL PRACTICE (THE),21,1167785.26,55608.82190476191,0.0476190476190476,-0.1073931489363495,0.0476190476190476,False,68.77893518518519,Medium,,
ADVISEINC LTD,13,1785696.0,137361.23076923078,0.0,-0.0435700949978742,0.1538461538461538,False,68.76446759259258,Medium,,
DR J P NAGLE & PARTNERS,16,746094.71,46630.919375,0.0625,-0.1118440154252488,0.0625,False,68.75964506172839,Medium,,
SAMARITAN ENTERPRISES LTD (THE),9,2826977.0,314108.5555555556,0.1111111111111111,-0.0745588269326977,0.0,False,68.72106481481481,Medium,,
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,40,13107222.22,327680.5555,0.05,-0.1441734382274449,0.3,False,68.57638888888889,Medium,3.0,221.0
THREE CHEQUERS MEDICAL PRACTICE,11,471321.17,42847.3790909091,0.0909090909090909,-0.0722811820956427,0.0,False,68.5570987654321,Medium,,
BOLTON GP PARTNERSHIP LTD,43,5365965.46,124789.89441860466,0.0232558139534883,-0.1409114819072063,0.3023255813953488,False,68.5522762345679,Medium,,
DR KEDWARD & PARTNERS,20,2318070.57,115903.5285,0.0,-0.0955660342317393,0.3,False,68.5522762345679,Medium,,
PARTNERSHIPS IN CARE LTD,395,266007509.84,673436.7337721519,0.0075949367088607,-0.1291018308846108,0.2126582278481012,False,68.49922839506172,Medium,,
NHS ENGLAND,7,319060.33,45580.04714285715,0.0,-0.0386717872666193,0.1428571428571428,True,68.47029320987654,Medium,12.0,9.0
BOWLING HIGHFIELD MEDICAL PRACTICE,6,552728.87,92121.47833333332,0.0,-0.0595484740899141,0.1666666666666666,False,68.44135802469135,Medium,,
PCC FOR AVON & SOMERSET,7,766155.0,109450.71428571428,0.0,-0.0396808150616098,0.1428571428571428,False,68.42206790123457,Medium,,
